game_id,title,total_alignment,category_alignment,macro,pos_rate,score_norm,signed_gap,coverage,n_reviews,cat_콘텐츠 양,cat_조작감,cat_가성비,cat_그래픽,cat_최적화
12,The Witcher 3: Wild Hunt,0.9873,0.8739,0.9306,0.9373,0.95,0.0127,1.0,351,0.8949,0.8167,0.8453,0.9226,0.89
79,Dead by Daylight,0.8404,0.8118,0.8261,0.6204,0.78,0.1596,1.0,353,0.62,0.92,0.7357,0.9,0.8833
34,A Plague Tale: Innocence,0.951,0.8864,0.9187,0.881,0.93,0.049,1.0,210,0.8909,0.96,0.96,0.8512,0.77
99,Balatro,0.9824,0.792,0.8872,0.9524,0.97,0.0176,1.0,315,0.9088,0.74,0.71,0.8811,0.72
32,Death Stranding,0.9268,0.9208,0.9238,0.8268,0.9,0.0732,1.0,179,0.99,0.93,0.8914,0.8525,0.94
11,Dragon Age: The Veilguard,0.9052,0.7534,0.8293,0.5652,0.66,0.0948,1.0,230,0.8138,0.32,0.8917,0.9914,0.75
53,Star Wars Jedi: Survivor,0.9387,0.863,0.9008,0.6687,0.73,0.0613,1.0,326,0.9953,0.6333,0.8561,0.9547,0.8755
74,Dave the Diver,0.9668,0.8262,0.8965,0.9268,0.96,0.0332,1.0,314,0.9065,0.7,0.9433,0.8613,0.72
67,Clair Obscur: Expedition 33,0.9593,0.9152,0.9373,0.9093,0.95,0.0407,1.0,375,0.9996,0.9327,0.72,0.9329,0.9908
86,TEKKEN 8,0.9598,0.8447,0.9022,0.5902,0.55,-0.0402,1.0,366,0.9284,0.7633,0.8945,0.985,0.6522
31,Forza Horizon 5,0.8418,0.8488,0.8453,0.7318,0.89,0.1582,1.0,302,0.7133,0.98,0.8056,0.96,0.7852
94,Overwatch 2,0.828,0.7144,0.7712,0.422,0.25,-0.172,1.0,372,0.8243,0.56,0.7411,0.53,0.9164
59,Monster Hunter Rise,0.9173,0.8426,0.88,0.9127,0.83,-0.0827,1.0,252,0.81,0.9778,0.72,0.875,0.83
20,Star Wars Jedi: Fallen Order,0.9169,0.9163,0.9166,0.7969,0.88,0.0831,1.0,320,0.8429,0.9127,0.97,0.9735,0.8822
39,God of War Ragnarök,0.9524,0.8623,0.9073,0.8624,0.91,0.0476,1.0,298,0.8267,0.9757,0.68,0.9371,0.8922
49,Hitman World of Assassination,0.9384,0.8606,0.8995,0.8284,0.89,0.0616,1.0,303,0.9863,0.67,0.9667,0.82,0.86
70,Dragon Age: Inquisition,0.9474,0.8986,0.923,0.7426,0.69,-0.0526,1.0,202,0.9683,0.8446,0.9867,0.9833,0.71
75,Battlefield 2042,0.9829,0.9225,0.9527,0.4571,0.44,-0.0171,1.0,245,0.885,0.99,0.9826,0.85,0.905
78,The Outer Worlds,0.77,0.7476,0.7588,0.59,0.82,0.23,1.0,200,0.8005,0.5857,0.88,0.8083,0.6633
87,Street Fighter 6,0.6756,0.7426,0.7091,0.5556,0.88,0.3244,1.0,342,0.63,0.8311,0.7448,0.9743,0.5329
